Typ;Pod typ;Parametr;Maximální referenční hodnota;Váha
BITTORRENT;General;Number of BitTorrent downloads (unique sources);0;0
BLACKLIST;Host;attempts;1;0.8
BLACKLIST;Service;attempts;1;0.8
BLACKLIST;Web;attempts;1;0.8
BLACKLIST;Domain;attempts;1;0.8
BLACKLIST;JA3;attempts;1;0.8
BPATTERNS;AndroidMalware;;1;1
BPATTERNS;BlackOasis;;1;1
BPATTERNS;CryptoMalware;;1;1
BPATTERNS;CryptocurrencyMining;attempts to access;1;1
BPATTERNS;CryptocurrencyTheft;;1;1
BPATTERNS;DDEExploit;;1;1
BPATTERNS;DNSHijackMacOS;;1;1
BPATTERNS;DarkTequila;;1;1
BPATTERNS;DarkwebViaTor2Web;;1;1
BPATTERNS;DroidclubBotnet;;1;1
BPATTERNS;EdgeChromeExtension;;1;1
BPATTERNS;EmailCampaignThreats;;1;1
BPATTERNS;EternalRocks;;1;1
BPATTERNS;ExploitKit;;1;1
BPATTERNS;FatBoy;;1;1
BPATTERNS;FlashPlayerExploit;;1;1
BPATTERNS;FormbookInfostealer;;1;1
BPATTERNS;Gazer;;1;1
BPATTERNS;GoldDragon;;1;1
BPATTERNS;HackedCCleaner;;1;1
BPATTERNS;InformationStealers;;1;1
BPATTERNS;IoTMalware;;1;1
BPATTERNS;KeyLoggerCryptoMine;;1;1
BPATTERNS;LeviathanFinSpy;;1;1
BPATTERNS;LockyFakeGlobe;;1;1
BPATTERNS;MonetizerCampaign;;1;1
BPATTERNS;PandaMalware;;1;1
BPATTERNS;PegasusSpyware;attempts to access;1;1
BPATTERNS;Petya;;1;1
BPATTERNS;QakBot;;1;1
BPATTERNS;RamnitTrojan;;1;1
BPATTERNS;Ransomware;;1;1
BPATTERNS;RemcosRAT;;1;1
BPATTERNS;RetefeTrojan;;1;1
BPATTERNS;SIGRed;;1;1
BPATTERNS;DNSServers;;1;1
BPATTERNS;SmbTraffic;requests count;1;1
BPATTERNS;TransferThreshold;;1;1
BPATTERNS;RatioTolerance;;1;1
BPATTERNS;SpionageCampaigns;;1;1
BPATTERNS;SyncCrypt;;1;1
BPATTERNS;TORMalware;;1;1
BPATTERNS;TSSCampaign;;1;1
BPATTERNS;ToriiBotnet;;1;1
BPATTERNS;URSNIFBankingTrojan;;1;1
BPATTERNS;wplogin;;1;1
BPATTERNS;WPMinAttempts;;1;1
BPATTERNS;WPDetectAdmin;;1;1
BPATTERNS;EncryptedDNS;;0;0
DIRINET;General;;0;0
DICTATTACK;SMTPProtocol;attempts;100;0.6
DICTATTACK;SambaProtocol;attempts;100;0.6
DICTATTACK;VNCProtocol;attempts;100;0.6
DICTATTACK;IMAPProtocol;attempts;100;0.6
DICTATTACK;POP3Protocol;attempts;100;0.6
DICTATTACK;FTPProtocol;attempts;100;0.6
DICTATTACK;SSHProtocol;attempts;100;0.6
DICTATTACK;TelnetProtocol;attempts;100;0.6
DICTATTACK;RDPProtocol;attempts;100;0.6
